mmsi,name,imo,lat,lon,sog,cog,nav_status,ship_type,destination,eta,dim_bow,dim_stern,timestamp
257052230,LOS133,,62.47411,6.15557,0,294.1,0,,,,,,2026-03-30 01:18:45.342358914 +0000 UTC
257052800,TORNEROSE,29862,,,,,,60,FLOROE,"{""Day"":10,""Hour"":0,""Minute"":0,""Month"":4}",11,7,
257053170,GEOLOGEN,,63.43833,10.39873,0,313.1,0,,,,,,2026-03-30 01:18:49.441628255 +0000 UTC
257054700,HORTTE,0,59.49159,10.38135,0,360,0,60,LANGOYA,"{""Day"":12,""Hour"":12,""Minute"":12,""Month"":12}",7,8,2026-03-30 01:18:44.435130877 +0000 UTC
257055660,LOS 134,,59.21116,5.46293,0,110.2,0,,,,,,2026-03-30 01:18:42.266145282 +0000 UTC
257056610,ODDMUND,,63.65998,8.83842,0,360,0,,,,,,2026-03-30 01:18:41.228203226 +0000 UTC
257056690,CORNELIA,,61.09917,5.73275,0,360,0,,,,,,2026-03-30 01:18:44.323666842 +0000 UTC
257058770,YTTEROYANE,,61.601,5.02815,0,360,5,,,,,,2026-03-30 01:18:41.267465867 +0000 UTC
257059800,STOTT,,62.43067,6.34247,0,230.2,0,,,,,,2026-03-30 01:18:45.352489077 +0000 UTC
257061000,MAGNE VIKING,,60.389,5.30937,0,135.9,5,,,,,,2026-03-30 01:18:45.47073473 +0000 UTC
257061600,KRAFT JOHANSSEN,7334008,,,,,,52,,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",0,0,
257067640,RESCUE PR. RAGNHILD,,59.39196,10.48081,0.1,11.5,5,,,,,,2026-03-30 01:18:41.284753298 +0000 UTC
257069200,KV FARM,,68.70326,15.41881,0,88.6,5,,,,,,2026-03-30 01:18:49.442668022 +0000 UTC
257070800,ALEA OF LOFOTEN,,68.24179,14.58602,102.3,360,0,,,,,,2026-03-30 01:18:45.328247341 +0000 UTC
257071050,KINSARVIK,,60.37629,6.71921,0,190.6,5,,,,,,2026-03-30 01:18:43.287680691 +0000 UTC
257071350,SJOVIK,,58.08,8.00168,0,360,0,,,,,,2026-03-30 01:18:44.644091703 +0000 UTC
257075250,FOLKE PATRIKSSON 1,,59.67463,10.60453,0.1,309.9,0,,,,,,2026-03-30 01:18:48.821460467 +0000 UTC
257076000,ISLAND CRUSADER,9602514,58.99986,5.66401,0,193.6,5,90,DUSAVIK(NODUS),"{""Day"":29,""Hour"":21,""Minute"":0,""Month"":3}",15,81,2026-03-30 01:18:43.488643422 +0000 UTC
257077100,FROYA,,69.00092,16.56437,0,360,0,,,,,,2026-03-30 01:18:41.254331192 +0000 UTC
257077420,REODOR,,63.49662,9.15782,0,360,0,,,,,,2026-03-30 01:18:48.415160917 +0000 UTC
257077580,FLOROY,,59.81352,5.65674,0,248.3,5,,,,,,2026-03-30 01:18:45.414559856 +0000 UTC
257077970,RO VISION,,63.76243,8.4432,0,276.3,0,,,,,,2026-03-30 01:18:50.487693221 +0000 UTC
257078770,EINAR,0,,,,,,30,STO,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",3,12,
257079380,RAVNOY,,64.50543,10.83917,0,208.4,5,,,,,,2026-03-30 01:18:42.279928529 +0000 UTC
257081000,FROYA,,57.32372,6.66983,9,233,0,,,,,,2026-03-30 01:18:48.408354006 +0000 UTC
257083180,CANOLE,,59.6854,10.60357,7.7,146,0,,,,,,2026-03-30 01:18:41.646307921 +0000 UTC
257084120,VIKSTRAUM,9829796,,,,,,80,FRLEH,"{""Day"":30,""Hour"":12,""Minute"":0,""Month"":3}",105,24,
257084140,BARSTEIN,,61.07417,4.83696,0,360,15,,,,,,2026-03-30 01:18:49.415857038 +0000 UTC
257087430,GRIP,9855408,,,,,,69,SEIVIKA-TOMMERVAAG,"{""Day"":21,""Hour"":4,""Minute"":0,""Month"":6}",48,48,
257088670,FEDJEBJORN,,60.78263,4.7141,0,207.6,5,,,,,,2026-03-30 01:18:46.404496165 +0000 UTC
